user_id,created_at,activated_at,experiment_group,location,device,language,company_id,event_name,count
15028.0,2014-06-30 22:43:17,2014-06-30 22:45:01,control_group,Brazil,dell inspiron desktop,portugese,31.0,,0
15072.0,2014-06-30 21:29:50,2014-06-30 21:31:20,control_group,Egypt,iphone 5,arabic,15.0,,0
15054.0,2014-06-30 21:06:24,2014-06-30 21:08:07,control_group,United States,macbook pro,english,7481.0,,0
15090.0,2014-06-30 18:01:21,2014-06-30 18:02:50,control_group,France,iphone 5s,english,1.0,,0
15048.0,2014-06-30 17:50:48,2014-06-30 17:52:23,control_group,Austria,iphone 5s,german,8932.0,,0
15041.0,2014-06-30 17:21:48,2014-06-30 17:23:22,control_group,Switzerland,nexus 7,english,478.0,,0
15077.0,2014-06-30 17:15:21,2014-06-30 17:16:49,control_group,Japan,nexus 10,japanese,6806.0,,0
15079.0,2014-06-30 17:05:44,2014-06-30 17:07:10,control_group,Japan,nokia lumia 635,japanese,12966.0,,0
15082.0,2014-06-30 16:42:10,2014-06-30 16:43:37,control_group,Germany,macbook air,french,3841.0,,0
15085.0,2014-06-30 16:32:15,2014-06-30 16:33:47,control_group,Indonesia,macbook pro,chinese,12898.0,,0
15078.0,2014-06-30 15:41:35,2014-06-30 15:43:32,control_group,United Kingdom,lenovo thinkpad,english,10706.0,,0
15067.0,2014-06-30 15:04:31,2014-06-30 15:05:42,control_group,Argentina,hp pavilion desktop,spanish,1.0,,0
15020.0,2014-06-30 14:58:38,2014-06-30 15:00:01,control_group,United States,dell inspiron notebook,english,7336.0,,0
15074.0,2014-06-30 14:47:37,2014-06-30 14:48:56,control_group,Japan,nokia lumia 635,japanese,10213.0,,0
15042.0,2014-06-30 13:41:05,2014-06-30 13:42:20,control_group,United States,iphone 5,english,5944.0,,0
15052.0,2014-06-30 13:34:39,2014-06-30 13:36:09,control_group,Brazil,macbook air,portugese,9926.0,,0
15066.0,2014-06-30 13:11:22,2014-06-30 13:12:54,control_group,United States,asus chromebook,french,10874.0,,0
15024.0,2014-06-30 13:10:33,2014-06-30 13:11:30,control_group,India,dell inspiron notebook,indian,3646.0,,0
15075.0,2014-06-30 13:01:42,2014-06-30 13:02:58,control_group,Saudi Arabia,nexus 7,arabic,7206.0,,0
15081.0,2014-06-30 12:26:41,2014-06-30 12:28:03,control_group,United States,macbook pro,english,38.0,,0
15033.0,2014-06-30 11:57:03,2014-06-30 11:58:25,control_group,Japan,asus chromebook,japanese,141.0,,0
15091.0,2014-06-30 11:43:42,2014-06-30 11:45:12,control_group,United States,nexus 5,english,529.0,,0
15055.0,2014-06-30 11:31:33,2014-06-30 11:32:53,control_group,United States,nokia lumia 635,english,9510.0,,0
15039.0,2014-06-30 11:22:10,2014-06-30 11:23:46,control_group,United States,macbook air,english,67.0,,0
